Subcategory;Outcome
PayPal;60
Автобус;11913
Аккумулятор;2950
Алкоголь;2601
Антивирус;800
Бананы;1091,91
Ботинки;4170
Весы;1090
Ветровка;3500
Виноград;67,65
Вода;1280
Выпечка;76,9
Газовая горелка;700
Газовый балон;230
Гель для бритья;113,5
Гермомешок компрессионный;570
Гречка;696,46
Грибы маринованные;87,99
Груши;60,35
Дезодорант;126,5
День рождения;9306,5
Джинсы;3597
Жевачка;62,87
Заварочный чайник;499
Зубная паста;1860,2
Зубная щетка;174,9
Зубочистки;49,99
Икра;244,78
Интернет;4827,07
Йогурт;1926,2
Капуста;271,85
Капуста консервированная;150,8
Карта на скидки;150
Картофель;233,33
Картридер;420
Квартплата;72000
Кекс;122,1
Кетчуп;429,85
Кефир;1818,72
Кинотеатр;2360
Клавиатура;1050
Коврик самонадувающийся туристический;1900
Козинак;12,9
Колбаса;62,17
Комплект для макросъёмки;2660
Комплект импульсного света;17974
Компрессионный мешок;330
Консервы;49,99
Конфеты;3064,53
Кофе;1653,16
Крем;608,2
Крем для обуви;139,9
Кроссовки;1499
Курица;4057,4
Курс NYIP;34336
Куртка;6899
Лапша быстрорастворимая;79,47
Липкая лента;25,99
Лук;74,97
Майка;400
Майонез;46,19
Макароны;791,67
Маршрутизатор;1650
Масло растительное;1090,09
Масло сливочное;1594,2
Междугородний автобус;8594
Метро;340
Мобильный;1450
Молоко;909,24
Морковь;87,63
Музей;405
Мыло;608,95
Мясо;297,7
Навигатор;12190
Накидка на рюкзак;420
Накомарник;170
Недостача;3203,15
Носки;1113
Обед;9433,5
Общественный туалет;45
Объектив;33030
Овощи;153
Овощная смесь замороженная;910,14
Овсянка;1267,95
Одеяло;1199
Окурцы;247,93
Оливки;188,89
Ополаскиватель зубной;734,77
Орехи;285,5
Отпуск;58556,05
Оформление визы;3560
Оформление стрхового полиса;1687,75
Пакет;456,5
Пакеты для мусора;200
Палатка;4900
Пельмени;436,78
Пена для бритья;119,9
Переходник на газовые балоны;150
Перец сладкий;457,27
Перчатки;134,9
Печать фотографий;5723
Печенье;119,08
Пиво;2042,49
Планетарий;150
По FOREX;0
Поезд;9074,2
Поездка на природу;500
Помидоры;3068,16
Помощь в работе;5000
Приправы и специи;461,32
Простыня;318
Пульт ДУ;2590
Пюре сухое;82,47
Разное;9586
Рамка для фото;1365
Ресторан;14789
Рис;49,99
Рубашка;1949
Рыба;299
Рюкзак;4250
Салфетки;99
Самолет;20092,93
Сахар;1789,06
Сетевой фильтр;530
Скраб для лица;77,99
Сльдерей корневой;171,03
Сода;12,9
Сок;1869,67
Соль;56,69
Сосиски;592,1
Соус;61,99
Спички;24,3
Средство от комаров;199
Стиральный порошок;467,16
Стрижка;1500
Сумка;650
Сухарики;90,06
Сухое горючее;49,99
Сухофрукты;570
Сыр;4907,87
Сыр плавленный;1337,41
Тарелки одноразовые;75,6
Телефон;2330
Толстовка;1200
Тренога костровая;799
Туалет;15
Туалетная бумага;143,99
Тушёнка;99,9
УЗИ;700
Уксус;40,79
Фасоль консервированная;2188,25
Фильтр для воды;438,8
Флешка;350
Фольга;274,88
Фотостол;3250
Фотофильтр;7380
Хлеб;860,75
Чай;1943,18
Чеснок;203,34
Чечевица;385,95
Чипсы;1131,77
Шампунь;234
Шоколад;299,88
Экскурсия;590
Электричка;340
Яйца;288,29
фото;100
